ticker,official_name,name,description,sector,industry,website,shortname
ABIO,iАРТГЕН ао,"ПАО ""Артген""",Unknown,Здравоохранение,Услуги по уходу за больными,http://www.hsci.ru/,Unknown
ABRD,АбрауДюрсо,Абрау-Дюрсо ПАО - обыкн.,Unknown,Потребительские товары недлительного пользования,Напитки: алкогольные,http://www.abraudurso.ru/,Unknown
AFKS,Система ао,"АФК ""Система"" ПАО - обыкн.",Unknown,Связь,Беспроводные телекоммуникации,http://www.sistema.ru/,Unknown
AFLT,Аэрофлот,Аэрофлот-росс.авиалин(ПАО)ао,"ПАО «Аэрофлот — Российские авиалинии» осуществляет полёты и коммерческую деятельность на воздушных линиях. Компания предоставляет услуги пассажирских и грузовых авиаперевозок как внутри страны, так и на международном уровне, наряду с другими авиационными сервисами. Аэрофлот осуществляет свою деятельность посредством двух бизнес-сегментов: Авиаперевозки и Прочее. Компания была основана 17 марта 1932 года. Штаб-квартира расположена в Москве, Россия.",Транспорт,Авиакомпании,http://www.aeroflot.ru/,Unknown
ALRS,АЛРОСА ао,АЛРОСА ПАО - обыкн.,"ПАО АК Алроса (ПАО Акционерная компания Алроса), ранее известная как ОАО АК Алроса, — это российская компания, которая в основном занимается разведкой, добычей, производством и продажей алмазов. Она управляет пятью интегрированными горно-обогатительными комплексами: Мирный, Удачный, Айхал, Анабар и Нюрба, расположенными в Республике Саха; сортировочным подразделением и подразделением по гранению и полировке алмазов. Компания является членом множества алмазных организаций. Она осуществляет свою деятельность через несколько представительств, отделений и дочерних компаний, включая ОАО Алроса–Нюрба, ОАО Алмазы Анабара и ОАО Севералмаз.",Несырьевые полезные ископаемые,Прочие металлы и минералы,http://www.alrosa.ru/,Unknown
AMEZ,АшинскийМЗ,Ашинский метзавод ПАО - обыкн.,Unknown,Несырьевые полезные ископаемые,Сталь,http://www.amet.ru/,Unknown
APRI,АПРИ,АПРИ,Unknown,Unknown,Unknown,Unknown,Unknown
APTK,Аптеки36и6,"ПАО ""Аптечная сеть 36,6"" - обыкн.",Unknown,Розничная торговля,Аптечные сети,http://pharmacychain366.ru/,Unknown
ARSA,Арсагера,УК Арсагера ПАО - обыкн.,Unknown,Финансы,Управление инвестициями,http://www.arsagera.ru/,Unknown
ASSB,АстрЭнСб,"""Астраханская ЭСК"" ПАО",Unknown,Коммунальные услуги,Электроэнергетика,http://www.astsbyt.ru/,Unknown
BISVP,БашИнСв ап,Башинформсвязь(ПАО) - прив.,Unknown,Связь,Ведущие телекоммуникационные компании,http://www.rostelecom-rb.ru/,Unknown
BLNG,Белон ао,Белон ОАО - обыкн.,Unknown,Энергетические и минеральные ресурсы,Уголь,http://www.belon.ru/,Unknown
BSPB,БСП ао,"ПАО ""Банк ""Санкт-Петербург"" - обыкн.",Unknown,Финансы,Региональные банки,http://www.bspb.ru/,Unknown
BSPBP,БСП ап,Банк Санкт-Петербург - прив.,Unknown,Финансы,Региональные банки,http://www.bspb.ru/,Unknown
CARM,СТГ,СТГ - обыкн.,Unknown,Unknown,Unknown,Unknown,Unknown
CBOM,МКБ ао,"""МКБ"" ПАО - обыкн.",Unknown,Финансы,Региональные банки,http://www.mkb.ru/,Unknown
CHGZ,РН-ЗапСиб,РН-Западная Сибирь ПАО - обыкн.,Unknown,Энергетические и минеральные ресурсы,Нефтегазовое производство,Unknown,Unknown
CNTL,Телеграф,"""Центральный Телеграф"" ПАО - обыкн.",Unknown,Связь,Специализированные телекоммуникации,http://www.cnt.ru/,Unknown
CNTLP,Телеграф-п,"""Центральный Телеграф"" ПАО - прив.",Unknown,Связь,Специализированные телекоммуникации,http://www.cnt.ru/,Unknown
DIOD,ЗаводДИОД,Завод ДИОД ПАО - обыкн.,Unknown,Медицинские технологии,Фармацевтические товары: прочие лекарственные средства,http://www.diod.ru/,Unknown
DVEC,ДЭК ао,"""ДЭК"" ПАО - обыкн.",Unknown,Коммунальные услуги,Электроэнергетика,http://www.dvec.ru/,Unknown
EELT,ЕвроЭлтех,"""ЕвропЭлектротехника"" ПАО - обыкн.",Unknown,Электронные технологии,Электронные комплектующие,http://www.euroetpao.ru/,Unknown
ELFV,ЭЛ5Энер ао,"""ЭЛ5-Энерго"" ПАО",Unknown,Коммунальные услуги,Электроэнергетика,http://www.enel.ru/,Unknown
ELMT,Элемент,Элемент,Unknown,Unknown,Unknown,Unknown,Unknown
FEES,Россети,"""ФСК - Россети"" ПАО",Unknown,Коммунальные услуги,Электроэнергетика,http://www.fsk-ees.ru/,Unknown
FESH,ДВМП ао,ДВ морское пароходство ПАО - обыкн.,Unknown,Транспорт,Морские перевозки,http://www.fesco.ru/,Unknown
FLOT,Совкомфлот,Совкомфлот - обыкн.,Unknown,Транспорт,Морские перевозки,http://www.sovcomflot.ru/,Unknown
GAZA,ГАЗ ао,ГАЗ ПАО - обыкн.,Unknown,Промышленное производство,"Грузовые автомобили, строительная и сельскохозяйственная техника",Unknown,Unknown
GAZAP,ГАЗ ап,ГАЗ ПАО - прив.,Unknown,Промышленное производство,"Грузовые автомобили, строительная и сельскохозяйственная техника",Unknown,Unknown
