ticker,official_name,name,description,sector,industry,website
ABIO,iАРТГЕН ао,Unknown,Unknown,Здравоохранение,Услуги по уходу за больными,http://www.hsci.ru/
ABRD,АбрауДюрсо,Unknown,Unknown,Потребительские товары недлительного пользования,Напитки: алкогольные,http://www.abraudurso.ru/
AFKS,Система ао,Unknown,Unknown,Связь,Беспроводные телекоммуникации,http://www.sistema.ru/
AFLT,Аэрофлот,Unknown,Unknown,Транспорт,Авиакомпании,http://www.aeroflot.ru/
ALRS,АЛРОСА ао,Unknown,Unknown,Несырьевые полезные ископаемые,Прочие металлы и минералы,http://www.alrosa.ru/
AMEZ,АшинскийМЗ,Unknown,Unknown,Несырьевые полезные ископаемые,Сталь,http://www.amet.ru/
APRI,АПРИ,Unknown,Unknown,Unknown,Unknown,Unknown
APTK,Аптеки36и6,Unknown,Unknown,Розничная торговля,Аптечные сети,http://pharmacychain366.ru/
ARSA,Арсагера,Unknown,Unknown,Финансы,Управление инвестициями,http://www.arsagera.ru/
ASSB,АстрЭнСб,Unknown,Unknown,Коммунальные услуги,Электроэнергетика,http://www.astsbyt.ru/
BISVP,БашИнСв ап,Unknown,Unknown,Связь,Ведущие телекоммуникационные компании,http://www.rostelecom-rb.ru/
BLNG,Белон ао,Unknown,Unknown,Энергетические и минеральные ресурсы,Уголь,http://www.belon.ru/
BSPB,БСП ао,Unknown,Unknown,Финансы,Региональные банки,http://www.bspb.ru/
BSPBP,БСП ап,Unknown,Unknown,Финансы,Региональные банки,http://www.bspb.ru/
CARM,СТГ,Unknown,Unknown,Unknown,Unknown,Unknown
CBOM,МКБ ао,Unknown,Unknown,Финансы,Региональные банки,http://www.mkb.ru/
CHGZ,РН-ЗапСиб,Unknown,Unknown,Энергетические и минеральные ресурсы,Нефтегазовое производство,Unknown
CNTL,Телеграф,Unknown,Unknown,Связь,Специализированные телекоммуникации,http://www.cnt.ru/
CNTLP,Телеграф-п,Unknown,Unknown,Связь,Специализированные телекоммуникации,http://www.cnt.ru/
DIOD,ЗаводДИОД,Unknown,Unknown,Медицинские технологии,Фармацевтические товары: прочие лекарственные средства,http://www.diod.ru/
DVEC,ДЭК ао,Unknown,Unknown,Коммунальные услуги,Электроэнергетика,http://www.dvec.ru/
EELT,ЕвроЭлтех,Unknown,Unknown,Электронные технологии,Электронные комплектующие,http://www.euroetpao.ru/
ELFV,ЭЛ5Энер ао,Unknown,Unknown,Коммунальные услуги,Электроэнергетика,http://www.enel.ru/
ELMT,Элемент,Unknown,Unknown,Unknown,Unknown,Unknown
FEES,Россети,Unknown,Unknown,Коммунальные услуги,Электроэнергетика,http://www.fsk-ees.ru/
FESH,ДВМП ао,Unknown,Unknown,Транспорт,Морские перевозки,http://www.fesco.ru/
FLOT,Совкомфлот,Unknown,Unknown,Транспорт,Морские перевозки,http://www.sovcomflot.ru/
GAZA,ГАЗ ао,Unknown,Unknown,Промышленное производство,"Грузовые автомобили, строительная и сельскохозяйственная техника",Unknown
GAZAP,ГАЗ ап,Unknown,Unknown,Промышленное производство,"Грузовые автомобили, строительная и сельскохозяйственная техника",Unknown
GAZC,ГАЗКОН-ао,Unknown,Unknown,Финансы,Финансовые конгломераты,http://www.gazcon.ru/
GAZP,ГАЗПРОМ ао,Unknown,Unknown,Энергетические и минеральные ресурсы,Интегрированная нефтяная промышленность,http://www.gazprom.ru/
