sector,count
Коммунальные услуги,67
Unknown,30
Финансы,28
Несырьевые полезные ископаемые,25
Энергетические и минеральные ресурсы,24
Промышленное производство,14
Обрабатывающая промышленность,12
Связь,12
Транспорт,8
Потребительские товары длительного пользования,8
Розничная торговля,6
Электронные технологии,6
Потребительские товары недлительного пользования,4
Технологии,4
Медицинские технологии,3
Производственно-технические услуги,3
Здравоохранение,2
Потребительские услуги,1
Разное,1
Дистрибуция,1
Коммерческие услуги,1
